rank: 0; group_size: 1
0 0 1.4959e+11 0 
17.7254 0 1.49584e+11 9.39457e+08 
53.1765 0.111326 1.49572e+11 1.87888e+09 
106.353 0.445313 1.49554e+11 2.81822e+09 
177.254 1.1133 1.49531e+11 3.75746e+09 
265.877 2.22663 1.49501e+11 4.69655e+09 
372.221 3.89663 1.49466e+11 5.63545e+09 
496.281 6.23462 1.49425e+11 6.57413e+09 
638.055 9.35194 1.49377e+11 7.51255e+09 
797.537 13.3599 1.49324e+11 8.45067e+09 
974.723 18.3697 1.49265e+11 9.38846e+09 
1169.61 24.4926 1.492e+11 1.03259e+10 
1382.18 31.8399 1.4913e+11 1.12629e+10 
1612.44 40.5226 1.49053e+11 1.21995e+10 
1860.37 50.6521 1.48971e+11 1.31355e+10 
2125.97 62.3393 1.48882e+11 1.40711e+10 
2409.23 75.6953 1.48788e+11 1.50061e+10 
2710.13 90.8312 1.48688e+11 1.59405e+10 
3028.67 107.858 1.48582e+11 1.68743e+10 
3364.83 126.886 1.4847e+11 1.78075e+10 
3718.61 148.027 1.48352e+11 1.87399e+10 
4089.98 171.39 1.48229e+11 1.96716e+10 
4478.95 197.088 1.48099e+11 2.06025e+10 
4885.48 225.23 1.47964e+11 2.15326e+10 
5309.57 255.927 1.47823e+11 2.24618e+10 
5751.2 289.289 1.47676e+11 2.33902e+10 
6210.36 325.427 1.47523e+11 2.43176e+10 
6687.02 364.451 1.47364e+11 2.52441e+10 
7181.17 406.471 1.472e+11 2.61695e+10 
7692.79 451.597 1.47029e+11 2.7094e+10 
8221.87 499.939 1.46853e+11 2.80173e+10 
8768.37 551.606 1.46671e+11 2.89396e+10 
9332.29 606.709 1.46484e+11 2.98607e+10 
9913.59 665.357 1.4629e+11 3.07806e+10 
10512.3 727.659 1.46091e+11 3.16994e+10 
11128.3 793.725 1.45886e+11 3.26168e+10 
11761.6 863.663 1.45675e+11 3.3533e+10 
12412.3 937.584 1.45459e+11 3.44479e+10 
13080.2 1015.59 1.45236e+11 3.53614e+10 
13765.3 1097.81 1.45008e+11 3.62735e+10 
14467.7 1184.32 1.44774e+11 3.71841e+10 
15187.3 1275.26 1.44535e+11 3.80933e+10 
15924.1 1370.72 1.4429e+11 3.9001e+10 
16677.9 1470.81 1.44039e+11 3.99071e+10 
17448.9 1575.64 1.43782e+11 4.08117e+10 
18237 1685.32 1.4352e+11 4.17147e+10 
19042.1 1799.96 1.43252e+11 4.2616e+10 
19864.3 1919.66 1.42978e+11 4.35156e+10 
20703.4 2044.53 1.42699e+11 4.44135e+10 
21559.5 2174.68 1.42414e+11 4.53096e+10 
22432.5 2310.21 1.42124e+11 4.6204e+10 
23322.4 2451.23 1.41827e+11 4.70965e+10 
24229.2 2597.85 1.41526e+11 4.79871e+10 
25152.8 2750.18 1.41218e+11 4.88759e+10 
26093.1 2908.31 1.40905e+11 4.97627e+10 
27050.2 3072.36 1.40587e+11 5.06476e+10 
28024.1 3242.43 1.40262e+11 5.15304e+10 
29014.6 3418.62 1.39933e+11 5.24113e+10 
30021.7 3601.04 1.39598e+11 5.329e+10 
31045.4 3789.8 1.39257e+11 5.41666e+10 
32085.7 3985.01 1.38911e+11 5.50411e+10 
33142.5 4186.75 1.38559e+11 5.59134e+10 
34215.8 4395.14 1.38202e+11 5.67835e+10 
35305.5 4610.29 1.37839e+11 5.76514e+10 
36411.6 4832.29 1.37471e+11 5.85169e+10 
37534.1 5061.25 1.37097e+11 5.93802e+10 
38672.8 5297.28 1.36718e+11 6.02411e+10 
39827.9 5540.47 1.36334e+11 6.10996e+10 
40999.1 5790.92 1.35944e+11 6.19557e+10 
42186.5 6048.75 1.35549e+11 6.28094e+10 
43390 6314.05 1.35148e+11 6.36605e+10 
44609.7 6586.92 1.34742e+11 6.45091e+10 
45845.3 6867.47 1.34331e+11 6.53552e+10 
47096.9 7155.79 1.33914e+11 6.61987e+10 
48364.5 7451.99 1.33493e+11 6.70396e+10 
49647.9 7756.17 1.33065e+11 6.78778e+10 
50947.2 8068.42 1.32633e+11 6.87133e+10 
52262.3 8388.85 1.32195e+11 6.95462e+10 
